word,ham,spam
6.House-Maid,3,0
6.romantic,1,0
"60,400thousad.i",1,0
600,0,1
6031,0,2
60P,0,1
60p/min,0,4
61200,0,2
61610,0,2
62220Cncl,0,1
6230,0,1
62468,0,7
62735=£450,0,1
630,2,0
63miles,1,0
645,1,0
650,1,0
6669,0,1
67441233,1,0
68866,0,1
69101.,0,1
69200,0,1
69669,0,2
69696,0,2
69698,0,2
69855,0,1
69866.18,0,2
69876,0,1
69888,0,2
69888Nyt,0,1
69911,0,1
69969,0,1
69988,0,1
6HL,0,2
6WU,0,2
6ZF,0,1
6days,0,2
6hrs,4,0
6ish,1,0
6missed,1,0
6months,1,2
6pm,3,0
6th,4,0
6times,1,0
7,23,3
7+2+5=,1,0
7-Mahaveer,1,0
7.,1,0
7.30,2,0
7.30ish,1,0
7.30pm,1,0
7.8p/min,0,2
7.Children,3,0
7.Romantic,1,0
7.shy,1,0
700,2,0
7250,0,2
7250i,0,4
730,1,0
731,0,1
74355,0,1
750,0,18
7548,0,1
7634,0,1
7684,0,1
7732584351,0,1
78,0,1
786,0,4
7876150ppm,0,2
7:30,1,0
7WS,0,1
7ZS,0,1
7am,1,0
7cfca1a,0,1
7ish,2,0
7oz,1,0
7pm,1,0
7th,4,0
8,17,1
8+6+3=,1,0
8-8:30,1,0
8-hr,1,0
8.30,2,0
8.Attractive,1,0
8.Lovable,1,0
8.Neighbour,3,0
80,0,1
800,0,13
8000930705,0,1
80062,0,5
8007,0,21
80082,0,3
80086,0,2
80122300p/wk,0,1
80155,0,1
80160,0,1
80182,0,3
8027,0,1
80488,0,3
80488.biz,0,1
80608,0,2
8077,0,2
80878,0,3
81010,0,2
81151,0,2
81303,0,3
81618,0,1
81618-,0,2
82242,0,3
82277,0,5
82277.unsub,0,2
82324,0,1
82468,0,2
83021,0,1
83039,0,1
83049,0,2
83110,0,1
83118,0,1
83222,0,3
83332.Please,0,1
83338,0,1
83355,0,4
83370,0,1
83383,0,2
83435,0,1
83600,0,4
83738,0,1
84,0,1
84025,0,3
84122,0,1
84128,0,3
84199,0,4
84484,0,1
85,0,4
850,1,0
85023,0,7
85069,0,2
85222,0,1
85233,0,1
8552,0,4
85555,0,1
86021,0,6
861,0,2
864233,0,1
86688,0,19
86888,0,2
87021,0,3
87066,0,13
87070,0,1
87077,0,8
87121,0,4
87131,0,4
8714714,0,1
87239,0,4
87575,0,4
8800,0,1
88039,0,3
88039.SkilGme.TsCs087147403231Winawk,0,1
88066,0,3
88088,0,2
88222,0,2
88600,0,3
88800,0,1
8883,0,1
88877,0,2
88888,0,2
89034,0,1
89070,0,2
89080,0,2
89105,0,1
89123,0,1
89545,0,3
89555,0,3
89693,0,2
89938,0,1
8Ball,0,1
8WP,0,3
8am,2,0
8lb,1,0
8pm,1,1
8th,6,0
9,27,0
9+2+4=,1,0
9-6,1,0
9.decent,1,0
9.funny,1,0
900,3,0
9061100010,0,1
9153,0,1
92H,0,2
930,2,0
945+,1,0
946,0,1
95/pax,1,0
97N7QP,0,1
98321561,1,0
9996,0,1
9AE,0,4
9YT,0,1
9am,1,0
9am-11pm,0,4
9ja,3,0
9pm,2,0
9t,3,0
9th,0,1
:,559,163
;,766,2
<,0,6
=,6,5
=/,1,0
=D,4,0
=Twelve,1,0
>,1,30
?,1375,175
@,13,25
A,85,18
A-Green,0,1
A-ffectionate,1,0
A21,0,1
ABOUT,3,0
ABOUTAS,1,0
ABTA,0,3
ACCEPT,3,0
ACL03530150PM,0,2
ACTION,0,2
ACTUALLY,1,0
AD,1,0
ADAM,0,2
ADDAMSFA,0,2
ADP,0,1
ADRINK,1,0
AFEW,1,0
AFTER,2,0
AFTERNOON,1,0
AG,0,2
AGAIN,3,0
AGAIN.call,1,0
AGAINST,1,0
AGE,0,7
AGES,1,0
AGO,1,0
AGO.CUSOON,1,0
AH,1,0
AIG,1,0
AINT,1,0
AL,1,0
ALERT,0,1
ALETTER,1,0
ALEX,2,0
ALL,8,2
ALRITE,4,0
ALSO,1,0
ALWAYS,2,0
AM,7,1
AMY,1,0
AN,2,0
ANAL,1,0
AND,10,3
ANNIE,1,0
ANS,0,1
ANSWER,0,1
ANTELOPE,1,0
ANYTHING,1,0
AOM,0,2
APPY,1,0
APRIL,1,0
ARE,9,2
AREA,0,1
ARIES,0,1
AROUND,1,0
ARR,1,0
AS,4,0
ASAP,2,5
ASKED,1,1
ASLEEP,1,0
ASTHERE,1,0
ASUSUAL,1,0
AT,23,0
ATM/SMS,2,0
AUCTION,0,3
AUGUST,1,0
AV,1,0
AVA,1,0
AVE,2,0
AVENT,1,0
AWAITING,0,3
AWARD,0,2
AXIS,1,0
Aah,3,0
Aaniye,1,0
Aaooooright,1,0
Ab,0,1
Abbey,1,0
Abeg,1,0
Aberdeen,0,1
Abiola,11,0
About,3,0
Abt,1,0
Accept,4,0
Accident,0,2
AccommodationVouchers,0,1
Account,0,16
Accounts,2,0
Ache,1,0
Acnt,1,0
Aco,0,2
Activate,0,3
Active,0,2
Actually,10,0
Address,1,0
Admirer,0,2
Adrian,0,1
Adult,0,1
Aeronautics,2,0
Affections,1,0
Aft,4,0
After,14,1
AfterNoon,3,0
Afternoon,1,0
Afternoons,1,0
Aftr,3,0
Again,2,0
Agalla,1,0
Age,0,1
Age16,0,2
Age16+£1.50perWKsub,0,1
Ages,0,1
Ah,4,0
Ahhh,1,0
Ahhhh,1,0
Ahmad,6,0
Aight,29,0
Air,1,0
Airtel,1,0
Aiya,4,0
Aiyah,6,0
Aiyar,4,0
Aiyo,6,0
Aka,1,0
Akon-Lonely,0,1
Al,2,0
Alaikkum.Pride,1,0
Alaipayuthe,2,0
Aldrine,1,0
AlertFrom,0,1
Alex,2,0
Alfie,0,1
Algarve,0,2
All,32,1
Allah,1,0
Allah.Rakhesh,1,0
Allo,1,0
Almost,1,0
Already,3,0
Alright,11,0
Alrite,1,0
Also,15,0
Although,1,0
Always,7,0
Alwys,2,0
Am,23,2
Amanda,0,1
Amazing,3,0
Ambrith,1,0
American,2,0
Ami,1,0
Amrca,1,0
Amrita,1,0
Amy,0,1
An,2,0
And,99,0
Annoying,1,0
Another,3,0
Any,17,1
Anyone,1,0
Anything,13,0
Anytime,3,0
Anyway,10,0
Anyways,3,0
Apart,1,0
Apnt,1,0
Apo,1,0
Apparently,1,0
Apply,0,2
Apps,1,0
Appt,1,0
Ar.Praveesh,1,0
Arabian,1,0
Arcade,0,6
Ard,9,0
Are,79,1
Argh,2,0
Argument,3,0
Armand,1,0
Arms,1,0
Arngd,1,0
Arrow,0,1
Arsenal,0,2
Arul,1,0
Arun,2,0
As,27,12
Ashley,1,0
Asian,0,1
Ask,3,0
Asking,2,0
Aslamalaikkum,1,0
Astronomer,1,0
At,17,0
Athletic,1,0
Atlanta,3,0
Atlast,1,0
Atleast,1,0
Auction,0,5
Audrey,1,0
Audrie,1,0
August,0,2
Auntie,1,0
Australia,0,1
Available,1,2
Ave,0,2
Avenge,1,0
Awarded,0,1
Awesome,9,0
Aww,2,0
Awww,1,0
Ay,1,0
A£1.50,0,1
A£50,1,0
B,8,5
B'day,5,0
B'tooth,0,1
B-,1,0
B-Blue,0,1
B-day,1,0
B.,0,2
B/Tooth,0,1
B4,0,2
B4U,0,1
BA128NNFWFLY150ppm,0,1
BABE,11,1
BABE.SOZI,1,0
BABES,1,0
BABY,4,0
BACK,5,0
BACKWARDS,1,0
BAHAMAS,0,2
BAILIFF,0,1
BAK,3,0
BANG,1,0
BANK,1,0
BANNEDUK,0,1
BARMED,1,0
BATH,1,0
BBC,0,1
BBD,2,0
BBDELUXE,0,1
BCK,1,0
BCM1896WC1N3XX,0,2
BCM4284,0,2
BCMSFWC1N3XX,0,1
BCoz,1,0
BE,2,2
BEAUTIFUL,2,0
BED,2,0
BEDROOM,1,0
BEEN,4,0
BEER,1,0
BEFORE,1,2
BEGIN,2,0
BELIEVE,1,0
BEST,1,0
BETTER,1,0
BETTERSN,1,0
BIDS,0,1
BIG,0,1
BILL,0,1
BILLING,0,1
BIRD,1,0
BIRTHDAY,6,0
BIT,4,0
BK,1,0
BLOKE,0,1
BLOKES,1,0
BLOOD.Send,4,0
BMW,3,0
BOATIN,1,0
BONUS,0,3
BOO,1,0
BOOKS,1,0
BORED,1,0
BORING,1,0
BORN.PLEASE,1,0
BOUT,2,0
BOX,0,9
BOX139,0,1
BOX334SK38ch,0,1
BOX385,0,2
BOX420,0,1
BOX42WR29C,0,1
BOX95QU,0,3
BOX97N7QP,0,3
BOYF,1,0
BOYFRIEND,1,0
BRAND,0,2
BREAK,1,0
BREAKIN,1,0
BREATHE1,0,1
BRISTOL,1,0
BROKE,1,0
BROTHER,0,1
BSLVYL,13,0
BT,0,4
BT-national,0,2
BT-national-rate,0,8
BTHERE,1,0
BTW,1,0
BUDDY,1,0
BUS,2,0
BUT,8,0
BUTTHERES,1,0
BUZ,1,0
BY,0,1
BYATCH,1,0
Baaaaaaaabe,1,0
Baaaaabe,1,0
Babe,13,2
Babes,1,0
Baby,3,0
BabyGoodbye,0,1
Back,4,2
Bad,4,1
Badrith,1,0
Bahamas,0,2
Ball,1,0
Balls,1,0
Bam,1,0
BangBabes,0,1
Bani,1,0
Bank,1,2
Barbie,0,1
Barkleys,0,1
Barry,0,1
Bbq,1,0
Bc,1,0
Bcm,0,1
Bcoz,7,0
Be,12,0
Bears,0,1
Beautiful,6,0
Beauty,1,0
Bec,1,0
Becaus,1,0
Because,5,0
Become,1,0
Becomes,2,0
Becoz,1,0
Been,4,0
Beer,2,0
Beer-Rs,1,0
Beerage,1,0
Before,2,0
Behind,3,0
Being,1,0
Belovd,3,0
Ben,0,1
Bennys,1,0
Bergkamp,0,1
Best,5,0
Best1,3,0
Beth,1,0
Better,5,0
Beware,2,1
Big,1,1
Bill,2,0
Bin,0,1
Biola,1,0
Biro,1,0
Birthday,3,1
Bishan,1,0
Bit,2,0
Bite,1,0
Bits,1,0
Black,2,1
Blacko,1,0
Blank,2,0
Bless,1,0
Blind,0,2
Block,0,1
Bloody,1,0
Bloomberg,0,2
Blu,0,2
Blue,1,0
Bluetooth,0,9
BluetoothHdset,0,1
Bob,0,1
Body,1,0
Bognor,1,0
Boltblue,0,1
Bone,1,0
Bonus,0,16
Boo,3,0
Book,1,3
Booked,2,0
Bookmark,0,1
Boooo,1,0
Boost,2,0
Bored,0,3
Boss,5,0
Both,4,0
Bought,0,1
Box,0,23
Box1146,0,1
Box177,0,2
Box326,0,2
Box334,0,1
Box39822,0,4
Box434SK38WP150PPM18+,0,1
Box61,0,1
Boy,7,0
Boys,0,2
Brainless,1,0
Brandy,2,0
Bray,0,2
Brb,1,0
Brdget,1,0
Break,0,4
Breaker,0,1
Brief,1,0
Bright,2,0
Brilliant,3,0
Bring,3,0
Bristol,1,0
British,0,2
Britney,0,2
Broadband,1,0
Brother,4,0
Brought,0,1
Brown,1,0
Bstfrnd,3,0
Bt,8,0
Btw,2,0
Buffy,0,1
Bugis,1,0
Building,1,0
Bull,1,0
Burger,0,2
Burns,0,1
Busy,3,0
But,137,0
Buy,2,3
Buzz,3,0
Buzzzz,1,0
Bx,0,1
Bx526,0,1
By,10,1
Bye,1,0
C,17,46
C-IN,1,0
C-Red,0,1
C.,0,1
C52,0,2
CAKE,1,0
CAL,1,0
CALL,7,21
CALLED,1,0
CALLIN,1,0
CALM,1,0
CAME,1,0
CAMERA,0,4
CAN,8,0
CANCEL,0,1
CANT,1,0
CARD,0,3
CARE,3,0
CAREFUL,1,0
CARLIE,0,1
CASH,0,14
CAT,1,0
CATCH,1,0
CAUSE,1,0
CC,0,6
CD,0,8
CDGT,0,2
CDs,0,5
CER,1,0
CERI,1,0
CHA,1,0
CHANCE,1,3
CHARGE,1,0
CHARITY,0,2
CHAT,1,14
CHATLINES,0,1
CHECKIN,1,0
CHEERED,1,0
CHEERS,3,0
CHILLIN,1,0
CHIT-CHAT,0,1
CHOSEN,0,2
CL,1,0
CLAIM,0,3
CLAIRE,0,2
CLEAN,4,0
CLUB,0,2
CLUBSAISAI,0,1
CLoSE,1,0
CM,0,1
CNN,2,0
COLLECT,0,5
COLLEGE,2,0
COME,4,0
COMIN,2,0
COMMON,1,0
COMPETITION,1,0
COMPLETELY,1,0
CONCERNED,1,0
CONTENTION,1,0
CONTRACT,1,0
CONVINCED,2,0
COOL,2,0
COS,1,0
COUNTINLOTS,1,0
CR01327BT,0,2
CR9,0,7
CRAZYIN,0,1
CREDIT,1,1
CRISIS,1,0
CRO1327,0,1
CSH11,0,2
CU,1,0
CUD,1,0
CULDNT,1,0
CUM,1,0
CUP,0,2
CUST,0,1
CUTE,0,1
CW25WX,0,4
Ca,7,1
CaRE,2,0
Cab,1,0
Cable,1,0
Cali,1,0
Call,20,138
